# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
8

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Canard,0,FXPTRHLMCG,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
-1.017672419399386241e+00, 0.000000000000000000e+00, 2.648718265418571471e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
-7.141996682162961019e-01, 0.000000000000000000e+00, 2.394396850404428567e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
-4.120289668914788317e-01, 0.000000000000000000e+00, 2.014335580381246826e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
-1.344994089804772697e-01, 0.000000000000000000e+00, 1.583125311811741376e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
1.021455759401976998e-01, 0.000000000000000000e+00, 1.165201935810703804e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
2.914452922537731361e-01, 0.000000000000000000e+00, 8.008664784017452409e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
4.352669099963437649e-01, 0.000000000000000000e+00, 5.065628284332514275e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
5.403133141353264612e-01, 0.000000000000000000e+00, 2.818131669458876290e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
6.148520928489951132e-01, 0.000000000000000000e+00, 1.171256558443018077e-02, 1.000000000000000000e+00, 3.958266880232111262e+00
6.666666666666669627e-01, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 4.000000000000000000e+00
