# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
16

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Canard,0,FXPTRHLMCG,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, -2.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
-1.483781729175719599e+00, 1.999999999999999556e+00, -1.468607515367341132e-01, 1.199999999999999956e+00, 1.586533649582798411e+00
-1.669713781085913507e+00, 1.999999999999999556e+00, -1.298745182698317624e-01, 1.199999999999999956e+00, 1.723464124463156111e+00
-1.809860593396709127e+00, 1.999999999999999556e+00, -1.060946977946475717e-01, 1.199999999999999956e+00, 1.827739635619072267e+00
-1.909739963478819913e+00, 1.999999999999999556e+00, -7.729482294666822906e-02, 1.199999999999999956e+00, 1.904044169930654951e+00
-1.974747434982200289e+00, 1.999999999999999556e+00, -4.278050119223152092e-02, 1.199999999999999956e+00, 1.958266880232111484e+00
-2.000000000000000000e+00, 1.999999999999999556e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 2.000000000000000000e+00
-1.974747434982200511e+00, 1.999999999999999556e+00, 4.278050119223150011e-02, 1.199999999999999956e+00, 2.041733119767888294e+00
-1.909739963478819025e+00, 1.999999999999999556e+00, 7.729482294666860376e-02, 1.199999999999999956e+00, 2.095955830069344827e+00
-1.809860593396707795e+00, 1.999999999999999556e+00, 1.060946977946479602e-01, 1.199999999999999956e+00, 2.172260364380927733e+00
-1.669713781085911730e+00, 1.999999999999999556e+00, 1.298745182698319289e-01, 1.199999999999999956e+00, 2.276535875536843889e+00
-1.483781729175717601e+00, 1.999999999999999556e+00, 1.468607515367342797e-01, 1.199999999999999956e+00, 2.413466350417201589e+00
-1.251140659638758201e+00, 1.999999999999999556e+00, 1.544910305250570826e-01, 1.199999999999999956e+00, 2.584161237591246607e+00
-9.791005220116028029e-01, 1.999999999999999556e+00, 1.510777986126990713e-01, 1.199999999999999956e+00, 2.783663390284290440e+00
-6.843998218850684268e-01, 1.999999999999999556e+00, 1.372291360683512984e-01, 1.199999999999999956e+00, 3.000000000000000000e+00
-3.901366804006545230e-01, 1.999999999999999556e+00, 1.159904540018706631e-01, 1.199999999999999956e+00, 3.216336609715709116e+00
-1.191661192673152125e-01, 1.999999999999999556e+00, 9.154499060439263980e-02, 1.199999999999999956e+00, 3.415838762408752949e+00
1.123855771795162772e-01, 1.999999999999999556e+00, 6.761642092243612401e-02, 1.199999999999999956e+00, 3.586533649582798411e+00
2.979376230073775833e-01, 1.999999999999999556e+00, 4.660382630424511619e-02, 1.199999999999999956e+00, 3.723464124463156111e+00
4.391152009527755085e-01, 1.999999999999999556e+00, 2.954295380295206275e-02, 1.199999999999999956e+00, 3.827739635619072267e+00
5.423490811845298465e-01, 1.999999999999999556e+00, 1.646273989636647811e-02, 1.199999999999999956e+00, 3.904044169930655173e+00
6.156668130952238638e-01, 1.999999999999999556e+00, 6.849761777462577174e-03, 1.199999999999999956e+00, 3.958266880232111262e+00
6.666666666666669627e-01, 1.999999999999999556e+00, 0.000000000000000000e+00, 1.199999999999999956e+00, 4.000000000000000000e+00
6.666666666666669627e-01, 3.999999999999999112e+00, 0.000000000000000000e+00, 1.399999999999999911e+00, 0.000000000000000000e+00
6.156888335196699646e-01, 3.999999999999999112e+00, -6.610951838106440479e-03, 1.399999999999999911e+00, 4.173311976788848798e-02
5.424047336960604593e-01, 3.999999999999999112e+00, -1.588864403597609748e-02, 1.399999999999999911e+00, 9.595583006934514658e-02
4.392219499924883142e-01, 3.999999999999999112e+00, -2.851240659374764536e-02, 1.399999999999999911e+00, 1.722603643809275942e-01
2.981207855697557418e-01, 3.999999999999999112e+00, -4.497759626330892491e-02, 1.399999999999999911e+00, 2.765358755368439447e-01
1.126797301131683693e-01, 3.999999999999999112e+00, -6.525624713817948508e-02, 1.399999999999999911e+00, 4.134663504172014781e-01
-1.187174901996276705e-01, 3.999999999999999112e+00, -8.834950365372395975e-02, 1.399999999999999911e+00, 5.841612375912467181e-01
